
========================================================================
Trial: bs64_lr3em04_adamw
========================================================================
GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 440,286, Dev: 1,166
Epoch 01 | 00100/06880 | loss 9.6121 | ppl 14944.70 | lr 7.5e-06 | 4.2s
Epoch 01 | 00200/06880 | loss 9.4892 | ppl 13215.70 | lr 1.5e-05 | 7.6s
Epoch 01 | 00300/06880 | loss 9.3511 | ppl 11511.35 | lr 2.25e-05 | 11.0s
Epoch 01 | 00400/06880 | loss 9.1822 | ppl 9722.38 | lr 3e-05 | 14.5s
Epoch 01 | 00500/06880 | loss 8.9959 | ppl 8069.89 | lr 3.75e-05 | 18.0s
Epoch 01 | 00600/06880 | loss 8.8065 | ppl 6677.24 | lr 4.5e-05 | 21.6s
Epoch 01 | 00700/06880 | loss 8.6334 | ppl 5616.35 | lr 5.25e-05 | 25.2s
Epoch 01 | 00800/06880 | loss 8.4857 | ppl 4844.98 | lr 6e-05 | 28.7s
Epoch 01 | 00900/06880 | loss 8.3523 | ppl 4239.98 | lr 6.75e-05 | 32.1s
Epoch 01 | 01000/06880 | loss 8.2329 | ppl 3762.71 | lr 7.5e-05 | 35.4s
Epoch 01 | 01100/06880 | loss 8.1224 | ppl 3369.09 | lr 8.25e-05 | 38.8s
Epoch 01 | 01200/06880 | loss 8.0185 | ppl 3036.71 | lr 9e-05 | 42.3s
Epoch 01 | 01300/06880 | loss 7.9225 | ppl 2758.67 | lr 9.75e-05 | 45.8s
Epoch 01 | 01400/06880 | loss 7.8346 | ppl 2526.65 | lr 0.000105 | 49.4s
Epoch 01 | 01500/06880 | loss 7.7524 | ppl 2327.17 | lr 0.0001125 | 52.9s
Epoch 01 | 01600/06880 | loss 7.6751 | ppl 2153.98 | lr 0.00012 | 56.4s
Epoch 01 | 01700/06880 | loss 7.6036 | ppl 2005.49 | lr 0.0001275 | 59.9s
Epoch 01 | 01800/06880 | loss 7.5368 | ppl 1875.75 | lr 0.000135 | 63.4s
Epoch 01 | 01900/06880 | loss 7.4731 | ppl 1760.03 | lr 0.0001425 | 67.0s
Epoch 01 | 02000/06880 | loss 7.4121 | ppl 1655.96 | lr 0.00015 | 70.6s
Epoch 01 | 02100/06880 | loss 7.3555 | ppl 1564.82 | lr 0.0001575 | 73.8s
Epoch 01 | 02200/06880 | loss 7.3016 | ppl 1482.69 | lr 0.000165 | 77.1s
Epoch 01 | 02300/06880 | loss 7.2494 | ppl 1407.26 | lr 0.0001725 | 80.5s
Epoch 01 | 02400/06880 | loss 7.1995 | ppl 1338.80 | lr 0.00018 | 83.9s
