GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 880,572, Dev: 1,166
Initialized from: models/97_tuning/bs64_lr1em03_adamw/best_model.pt
Epoch 01 | 00100/13759 | loss 4.0045 | ppl 54.84 | lr 6e-06 | 4.1s
Epoch 01 | 00200/13759 | loss 3.9737 | ppl 53.18 | lr 1.2e-05 | 7.2s
Epoch 01 | 00300/13759 | loss 3.9385 | ppl 51.34 | lr 1.8e-05 | 10.5s
Epoch 01 | 00400/13759 | loss 3.9100 | ppl 49.90 | lr 2.4e-05 | 13.8s
Epoch 01 | 00500/13759 | loss 3.8862 | ppl 48.73 | lr 3e-05 | 17.0s
Epoch 01 | 00600/13759 | loss 3.8631 | ppl 47.61 | lr 2.738613e-05 | 20.2s
Epoch 01 | 00700/13759 | loss 3.8470 | ppl 46.85 | lr 2.535463e-05 | 23.4s
Epoch 01 | 00800/13759 | loss 3.8355 | ppl 46.32 | lr 2.371708e-05 | 26.6s
Epoch 01 | 00900/13759 | loss 3.8235 | ppl 45.76 | lr 2.236068e-05 | 29.7s
Epoch 01 | 01000/13759 | loss 3.8155 | ppl 45.40 | lr 2.12132e-05 | 33.0s
Epoch 01 | 01100/13759 | loss 3.8060 | ppl 44.97 | lr 2.0226e-05 | 36.3s
Epoch 01 | 01200/13759 | loss 3.8000 | ppl 44.70 | lr 1.936492e-05 | 39.6s
Epoch 01 | 01300/13759 | loss 3.7954 | ppl 44.50 | lr 1.860521e-05 | 42.9s
Epoch 01 | 01400/13759 | loss 3.7905 | ppl 44.28 | lr 1.792843e-05 | 46.1s
Epoch 01 | 01500/13759 | loss 3.7859 | ppl 44.08 | lr 1.732051e-05 | 49.3s
Epoch 01 | 01600/13759 | loss 3.7816 | ppl 43.89 | lr 1.677051e-05 | 52.5s
Epoch 01 | 01700/13759 | loss 3.7778 | ppl 43.72 | lr 1.626978e-05 | 55.7s
Epoch 01 | 01800/13759 | loss 3.7745 | ppl 43.58 | lr 1.581139e-05 | 58.9s
Epoch 01 | 01900/13759 | loss 3.7706 | ppl 43.40 | lr 1.538968e-05 | 62.2s
Epoch 01 | 02000/13759 | loss 3.7660 | ppl 43.21 | lr 1.5e-05 | 65.4s
Epoch 01 | 02100/13759 | loss 3.7622 | ppl 43.04 | lr 1.46385e-05 | 68.7s
Epoch 01 | 02200/13759 | loss 3.7586 | ppl 42.89 | lr 1.430194e-05 | 71.9s
Epoch 01 | 02300/13759 | loss 3.7562 | ppl 42.79 | lr 1.398757e-05 | 74.8s
Epoch 01 | 02400/13759 | loss 3.7540 | ppl 42.69 | lr 1.369306e-05 | 77.7s
Epoch 01 | 02500/13759 | loss 3.7516 | ppl 42.59 | lr 1.341641e-05 | 81.2s
Epoch 01 | 02600/13759 | loss 3.7491 | ppl 42.48 | lr 1.315587e-05 | 84.4s
Epoch 01 | 02700/13759 | loss 3.7470 | ppl 42.39 | lr 1.290994e-05 | 87.9s
Epoch 01 | 02800/13759 | loss 3.7457 | ppl 42.34 | lr 1.267731e-05 | 91.3s
Epoch 01 | 02900/13759 | loss 3.7440 | ppl 42.27 | lr 1.245682e-05 | 94.8s
Epoch 01 | 03000/13759 | loss 3.7420 | ppl 42.18 | lr 1.224745e-05 | 98.3s
Epoch 01 | 03100/13759 | loss 3.7405 | ppl 42.12 | lr 1.204829e-05 | 101.7s
Epoch 01 | 03200/13759 | loss 3.7392 | ppl 42.07 | lr 1.185854e-05 | 105.2s
Epoch 01 | 03300/13759 | loss 3.7368 | ppl 41.96 | lr 1.167748e-05 | 108.7s
Epoch 01 | 03400/13759 | loss 3.7356 | ppl 41.91 | lr 1.150447e-05 | 112.1s
Epoch 01 | 03500/13759 | loss 3.7345 | ppl 41.87 | lr 1.133893e-05 | 115.4s
Epoch 01 | 03600/13759 | loss 3.7326 | ppl 41.79 | lr 1.118034e-05 | 118.7s
Epoch 01 | 03700/13759 | loss 3.7308 | ppl 41.71 | lr 1.102822e-05 | 121.9s
Epoch 01 | 03800/13759 | loss 3.7290 | ppl 41.64 | lr 1.088214e-05 | 125.0s
Epoch 01 | 03900/13759 | loss 3.7272 | ppl 41.56 | lr 1.074172e-05 | 128.2s
Epoch 01 | 04000/13759 | loss 3.7262 | ppl 41.52 | lr 1.06066e-05 | 131.4s
Epoch 01 | 04100/13759 | loss 3.7257 | ppl 41.50 | lr 1.047645e-05 | 134.6s
